date,time_open,time_close,symbol,side,leverage,entry,exit,pyg_pct,pyg_usd,margin_est,duration_min,source
2026-05-10,12:02:14,13:29:56,CHIPUSDT,SHORT,10,0.06405,0.06417,-3.14,-0.10114123,3.2211,88,manual_screenshot
2026-05-10,11:19:47,13:08:02,KITEUSDT,SHORT,10,0.1834,0.18034,15.48,0.45994422,2.9712,108,manual_screenshot
2026-05-10,11:10:38,11:49:55,VIRTUALUSDT,SHORT,10,0.9092,0.922,-15.28,-0.52676148,3.4474,39,manual_screenshot
2026-05-10,11:18:08,11:45:41,PAXGUSDT,SHORT,10,4717.43,4720.56,-1.86,-0.06154955,3.3091,28,manual_screenshot
2026-05-10,18:50:25,19:38:10,IOTAUSDT,LONG,10,0.0631,0.0637,9.03,0.14906275,1.6508,48,manual_screenshot
2026-05-10,18:44:10,19:03:34,PIEVERSEUSDT,LONG,10,0.8228,0.8198,-4.84,-0.16340796,3.3762,19,manual_screenshot
2026-05-10,16:06:50,18:51:31,FILUSDT,LONG,10,1.132,1.141,7.49,0.24509548,3.2723,165,manual_screenshot
2026-05-10,16:36:35,17:47:51,MUSDT,LONG,10,3.313,3.3033,-4.12,-0.12302802,2.9861,71,manual_screenshot
2026-05-10,15:47:20,17:33:06,UNIUSDT,LONG,10,3.956,3.993,8.21,0.2598436,3.165,106,manual_screenshot
2026-05-10,16:15:22,16:23:12,BUSDT,SHORT,10,0.406,0.4039,3.76,0.1130366,3.0063,8,manual_screenshot
2026-05-10,13:49:50,15:34:18,GRTUSDT,SHORT,10,0.02903,0.02869,10.51,0.33330176,3.1713,104,manual_screenshot
2026-05-10,13:57:01,15:33:44,LPTUSDT,SHORT,10,2.399,2.373,9.44,0.2762934,2.9268,97,manual_screenshot
2026-05-10,13:42:03,15:31:31,ORDIUSDT,SHORT,10,5.436,5.298,24.12,0.81315061,3.3713,109,manual_screenshot
2026-05-10,12:12:49,13:32:22,SUSDT,SHORT,10,0.05556,0.0566,-19.92,-0.59461795,2.985,80,manual_screenshot
2026-05-10,19:19:34,20:16:36,TAOUSDT,LONG,10,323.73,321.21,-8.97,-0.30232425,3.3704,57,manual_screenshot
2026-05-10,19:48:31,20:16:16,CRVUSDT,LONG,10,0.2585,0.2566,-8.54,-0.27171438,3.1817,28,manual_screenshot
2026-05-10,21:09:24,21:21:53,TRXUSDT,LONG,10,0.34991,0.34961,-2.05,-0.10795680,5.2662,12,manual_screenshot
2026-05-10,20:48:30,20:58:25,KITEUSDT,SHORT,10,0.18722,0.18892,-10.28,-0.35817722,3.4842,9,manual_screenshot
2026-05-10,21:11:13,21:45:51,LABUSDT,SHORT,10,4.6282,4.6311,-1.83,-0.05103366,2.7887,34,manual_screenshot
2026-05-10,21:49:28,22:12:08,ZROUSDT,LONG,10,1.4995,1.4773,-16.04,-0.52692878,3.2851,22,manual_screenshot
2026-05-10,21:27:41,22:47:35,BATUSDT,LONG,10,0.1111,0.1114,1.55,0.05084312,3.2802,79,manual_screenshot
2026-05-10,22:13:18,22:55:03,VVVUSDT,SHORT,10,15.11,15.531,-29.07,-0.89195073,3.0683,41,manual_screenshot
2026-05-10,21:48:38,00:04:19,FARTCOINUSDT,LONG,10,0.2532,0.2565,11.88,0.39249211,3.3038,135,manual_screenshot
2026-05-10,22:56:42,00:17:34,KSMUSDT,LONG,10,5.83,5.838,0.17,0.00519584,3.0564,80,manual_screenshot
2026-05-10,22:55:28,00:34:36,THETAUSDT,LONG,10,0.2322,0.2337,5.3,0.16609917,3.1339,99,manual_screenshot
2026-05-11,00:05:39,00:59:29,RUNEUSDT,LONG,10,0.5988,0.5961,-5.7,-0.16743006,2.9374,53,manual_screenshot
